smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
OC[C@@]12O[C@@H]1[C@@H](O)[C@@H]1O[C@@H]12	104524776	HUJKSEYWQUBJGQ-MDMQIMBFSA-N	144.126	-1.742	0	30	AAAC	
OC(O)C1O[C@@H](O)[C@H](O)O1	116667653	YQHKPULJSWMBDF-PWNYCUMCSA-N	152.102	-2.693	0	30	AAAC	
O=C(O)B[C@@](O)(CC(=O)O)C(=O)O	263584528	VQDDBHBYZNUJIM-RXMQYKEDSA-N	189.916	-1.651	0	30	AAAC	
CC(=O)[C@@H](NC=O)C(N)=O	39069327	OJYVJEFROCGLHP-SCSAIBSYSA-N	144.130	-1.825	0	30	AAAC	
CN1C(=O)[C@@H]2NCN[C@H]2N(C)C1=O	209354496	UBNFVIOYSNCMBL-UHNVWZDZSA-N	184.199	-1.645	0	30	AAAC	
COC(=O)[C@H]1C[N@@]1CCO	1933295812	QYVFPBCKDPTMIF-IYSWYEEDSA-N	145.158	-1.164	0	30	AAAC	
CN(C)C(=O)[C@@](C)(O)CO	34539940	XBOXMDUNPDHQFV-LURJTMIESA-N	147.174	-1.182	0	30	AAAC	
NC1=NNC(=O)[C@@H]1N	104645837	PZQUSVQXQJZMJH-PVQJCKRUSA-N	114.108	-2.284	0	30	AAAC	
N[C@@H]1NCN[C@H]2NCN[C@@H]12	585662953	GXSFTOWUOAUHIE-VPENINKCSA-N	143.194	-2.734	0	30	AAAC	
OC[C@@]1(O)[C@H](O)C=CC[C@H]1O	2265351925	NVRMXAXNRULAJX-FSDSQADBSA-N	160.169	-1.609	0	30	AAAC	
C[C@](N)(CO)c1nn[nH]n1	1535851740	JUYJNRYUUXUYHU-BYPYZUCNSA-N	143.150	-1.634	0	30	AAAC	
NC(=O)[C@]1(O)C[C@@H](O)[C@H]2O[C@H]21	39065393	VGIKXTUKWRFBDL-HCRRSRSNSA-N	159.141	-2.265	0	30	AAAC	
NC1=N[C@@H](O)N=CN1	44075678	OOGSYSVTFDRODC-VKHMYHEASA-N	114.108	-1.792	0	30	AAAC	
Nc1oc2c(N)[n+]([O-])n(O)c2c1O	141653894	AWTGSWMQXIFNES-UHFFFAOYSA-N	186.127	-1.025	0	30	AAAC	
COC(=O)COS(=O)(=O)O	104403292	OYIZKWLVWNXOBT-UHFFFAOYSA-N	170.142	-1.021	0	30	AAAC	
C[C@H](CN)NCCO	19367530	QLSQYTKEUVPIJA-RXMQYKEDSA-N	118.180	-1.085	0	30	AAAC	
NC(=O)NC(=O)C(N)=O	1845964	QKVYYYORISFLAF-UHFFFAOYSA-N	131.091	-2.333	0	30	AAAC	
OCC[C@@H]1NCCN[C@H]1CCO	39113923	NINGMGSDVHJZHQ-YUMQZZPRSA-N	174.244	-1.319	0	30	AAAC	
NCCNCCNC(=O)O	22589764	ZUBOWBHHVKFYFL-UHFFFAOYSA-N	147.178	-1.198	0	30	AAAC	
N[C@H]1CN[C@H](CO)C[C@@H]1O	59159285	UFVFQDLZEGVVJV-ZLUOBGJFSA-N	146.190	-1.971	0	30	AAAC	
CNC1=NC(N)=C2NCCN=C2N1	39114546	MPJGSEOZOYGCFC-UHFFFAOYSA-N	180.215	-1.706	0	30	AAAC	
CN(C[C@H](O)CO)N=O	5965719	YHOZMWRNWDWYKJ-BYPYZUCNSA-N	134.135	-1.047	0	30	AAAC	
NC(=O)CC(O)(CC(N)=O)C(N)=O	1846016	MPQPXMRGNQJXGO-UHFFFAOYSA-N	189.171	-3.046	0	30	AAAC	
OC[C@@H]1NNC[C@H](O)[C@H]1O	34478686	PPPMSBCQTLJPKM-YUPRTTJUSA-N	148.162	-2.823	0	30	AAAC	
O=C1CN2C(=O)CCN[C@H]2CN1	39113670	CYCRMTFRHLQFIV-RXMQYKEDSA-N	169.184	-1.736	0	30	AAAC	
CN1CCN(C(=O)CON)CC1	39113879	SQXBYDMOHGJMPO-UHFFFAOYSA-N	173.216	-1.349	0	30	AAAC	
COC(=O)N1CCN(B(O)O)CC1	197989411	JPQLFRIZJGZKHZ-UHFFFAOYSA-N	187.992	-1.660	0	30	AAAC	
NCC[C@H](F)C[C@@H](N)C(N)=O	39136182	VLENTJMBSBOGOI-CRCLSJGQSA-N	163.196	-1.124	0	30	AAAC	
C[C@@H]1CN(C=O)[C@H](O)[C@@H](O)N1C=O	238805054	SAYDIOJUYWQANF-FSDSQADBSA-N	188.183	-2.058	0	30	AAAC	
CN1C(=O)N[C@@H](N)[C@H](N)C1=O	39136917	WICFJCRSEXZDDK-STHAYSLISA-N	158.161	-2.220	0	30	AAAC	
COC(=O)c1nnn(C)n1	39087414	LYKWYPMQIVQQMA-UHFFFAOYSA-N	142.118	-1.003	0	30	AAAC	
NC1=C[C@@](N)(Cl)NC(N)=N1	104394446	IMRDTLDXMGRZLQ-BYPYZUCNSA-N	161.596	-1.444	0	30	AAAC	
O=C(O)[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O	12501434	AEMOLEFTQBMNLQ-LHGYGUSFSA-N	194.139	-3.129	0	30	AAAC	in-vitro
N[C@@H]1C=C[C@@H](O)[C@H](O)[C@@H]1O	40540350	RAJLHDDMNNFKNT-KAZBKCHUSA-N	145.158	-2.034	0	30	AAAC	
CO[C@@H]1O[C@H](CN)[C@@H](O)[C@H](O)[C@H]1O	13508779	BJYPUAVFYCRNFH-XUUWZHRGSA-N	193.199	-2.601	0	30	AAAC	
C1CN[C@H]([C@H]2CNCCN2)CN1	39113764	AGUZDVQPUZKYPV-OCAPTIKFSA-N	170.260	-1.891	0	30	AAAC	
OCC[C@H]1NCCN[C@@H]1CCO	39113924	NINGMGSDVHJZHQ-HTQZYQBOSA-N	174.244	-1.319	0	30	AAAC	
O=C1NNC(=O)[C@@H]2C[C@@H]12	100248943	JUDZQAANDBTZIQ-PWNYCUMCSA-N	126.115	-1.217	0	30	AAAC	
CC(=O)N[C@@H]1C[C@H](CO)[C@H](O)[C@@H]1O	4963869	KJFMWZCEHSQWQV-OOJXKGFFSA-N	189.211	-1.775	0	30	AAAC	
O=S1(=O)N=C2NCCNC2=N1	39113936	PROXVDPPCVJEIB-UHFFFAOYSA-N	174.185	-1.765	0	30	AAAC	
CC(=O)N[C@H]1C(=O)O[C@@H](CO)[C@@H]1O	13544264	SFSOCLFOPIFBBR-JKUQZMGJSA-N	189.167	-2.230	0	30	AAAC	
NCC(=O)Nc1nccnn1	123876506	KCEZWZVNHYRSIP-UHFFFAOYSA-N	153.145	-1.231	0	30	AAAC	
O=C1N[C@@H](O)[C@@H](O)N1CO	5178898	SYPNXFTUXUIACQ-STHAYSLISA-N	148.118	-2.402	0	30	AAAC	
O=C1O[C@H]([C@@H](O)CO)C[C@H]1O	17148618	NSEFGBGANVMEIR-WISUUJSJSA-N	162.141	-1.984	0	30	AAAC	
